X,Y,Z,sigma_x,sigma_y,sigma_z,u
0,0,-1,7967343.78542872,25889331.1540138,7370437.35029952,0
0,0.400000005960464,-1,-110132.821375577,686178.350528773,81417.921209618,0.000185731159886702
0.00081475218757987,0,-0.997780978679657,7137415.32522664,24299289.7971067,8374233.07849535,0
0.00081475218757987,0.400000005960464,-0.997780978679657,-144943.582399587,671349.859365641,22493.2477756075,0.000185488919066495
0.00123105233069509,0,-1.00201618671417,5321539.76376183,23426506.8134525,5387134.12697134,0
0.00123105233069509,0.400000005960464,-1.00201618671417,-155062.06232407,560410.630792593,67999.6617326905,0.000185646306861678
0.00368607812561095,0,-0.995556771755219,7594402.95772628,21889434.1510209,7449125.88909287,0
0.00368607812561095,0.400000005960464,-0.995556771755219,-349334.544643344,497947.140085215,-44247.5203542587,0.000184937034070442
0.00444133579730988,0,-1.00365805625916,6000601.50495013,21428943.3691992,5108583.136736,0
0.00444133579730988,0.400000005960464,-1.00365805625916,-555984.555377206,336596.9669757,-2077.19691819235,0.000185252330617655
0.00855142809450626,0,-0.993418037891388,5857708.28374881,19072896.9722649,6696085.21215911,0
0.00855142809450626,0.400000005960464,-0.993418037891388,-529179.930011544,406389.515423061,-52672.4911352547,0.000184119388999988
0.015288763679564,0,-0.991488456726074,5438899.47773749,15854560.8121099,5639800.91137605,0
0.015288763679564,0.400000005960464,-0.991488456726074,-740643.672475633,213982.421300467,-56407.1302432343,0.000183130488672602
0.14087601006031,0,-1.00083696842194,-9245854.88737431,-27500780.3265118,-9950086.18243894,0
0.14087601006031,0.400000005960464,-1.00083696842194,506536.601546465,-376667.447165883,59159.6361296333,0.000187420476630927
0.141045048832893,0,-0.998018264770508,-6796798.48878724,-28419492.1243695,-4861061.78030429,0
0.141045048832893,0.400000005960464,-0.998018264770508,485816.711124313,-398608.516756475,22297.3078225933,0.000187269518504947
0.145888656377792,0,-1.00048351287842,-10815555.6467349,-33129893.0076508,-10516028.4706936,0
0.145888656377792,0.400000005960464,-1.00048351287842,281387.343029934,-547965.114883003,45561.8196100431,0.000188327591051573
0.145983919501305,0,-0.998986899852753,-9454912.71213504,-34088293.771347,-7205613.02090333,0
0.145983919501305,0.400000005960464,-0.998986899852753,255410.638381614,-572707.79585186,3864.91474015481,0.000188251335614322
0.148955270648003,0,-1.00026345252991,-10899629.4397004,-36386902.0360151,-10374243.4636403,0
0.148955270648003,0.400000005960464,-1.00026345252991,194435.043846965,-654987.835667709,5594.61267983209,0.000188910603125432
0.148998931050301,0,-0.999601006507874,-11315506.7385676,-37224790.6665733,-10073576.6559882,0
0.148998931050301,0.400000005960464,-0.999601006507874,192046.75874098,-643222.654286297,-1104.01888409269,0.000188877154609022
0.150012567639351,0,-0.999811410903931,-10575198.7610094,-36451814.1376279,-6600861.92898322,0
0.150012567639351,0.400000005960464,-0.999811410903931,174541.324365631,-676550.088692029,2621.90096174012,0.000189091887073464
0.00081475218757987,0.00909090922637419,-0.997780978679657,2211679.24625122,22079068.1635407,2709275.54244704,2.21821262856964e-06
0.00081475218757987,0.0181818184527484,-0.997780978679657,-160032.313635371,18997724.1628598,40956.2943810634,4.17703398209282e-06
0.00081475218757987,0.0272727276791226,-0.997780978679657,29431.4861464999,18341676.4826333,178488.71421707,6.10371459947709e-06
0.00081475218757987,0.0363636369054968,-0.997780978679657,25221.8854443589,17972691.1765523,196894.838213717,8.09055876504052e-06
0.00081475218757987,0.045454546131871,-0.997780978679657,24389.5403651893,17636443.3477281,198185.712244255,1.01630205840787e-05
0.00081475218757987,0.0545454553582451,-0.997780978679657,27415.6883752409,17232064.7077922,196207.749532488,1.23385553887913e-05
0.00081475218757987,0.0636363645846193,-0.997780978679657,23726.6743510817,16780956.0660329,196747.623224657,1.46240219740215e-05
0.00081475218757987,0.0727272738109935,-0.997780978679657,24426.1091521184,16387795.2204778,197187.357357611,1.70389612440173e-05
0.00081475218757987,0.0818181830373677,-0.997780978679657,14246.6408110287,15950540.128423,185237.512815049,1.95941857512939e-05
0.00081475218757987,0.0909090922637419,-0.997780978679657,23200.0701042977,15482960.9847204,179559.498263853,2.22874207132474e-05
0.00081475218757987,0.100000001490116,-0.997780978679657,23565.5688696045,15043659.5685806,178458.71788248,2.51248329499849e-05
0.00081475218757987,0.10909091071649,-0.997780978679657,18239.6029294671,14591671.8629222,175040.492271652,2.81121628637919e-05
0.00081475218757987,0.118181819942865,-0.997780978679657,18116.8985658174,14125432.5600851,170151.294325412,3.12493045416531e-05
0.00081475218757987,0.127272729169239,-0.997780978679657,18541.4281319533,13677507.558178,171857.059520581,3.45355330262804e-05
0.00081475218757987,0.136363638395613,-0.997780978679657,7311.03094053385,13235079.9804727,159395.80162058,3.7976203974314e-05
0.00081475218757987,0.145454547621987,-0.997780978679657,13913.6118349982,12746350.2904951,148806.179637819,4.15641574481781e-05
0.00081475218757987,0.154545456848361,-0.997780978679657,19242.7421087741,12296212.1520448,151009.942207232,4.52940121227538e-05
0.00081475218757987,0.163636366074735,-0.997780978679657,8615.19500698592,11865628.5921793,148346.272906176,4.91704462702479e-05
0.00081475218757987,0.17272727530111,-0.997780978679657,5385.15753490641,11392995.1226895,135332.761150326,5.31898759771677e-05
0.00081475218757987,0.181818184527484,-0.997780978679657,14822.3499698059,10925395.6701126,133105.341916117,5.73416062969853e-05
0.00081475218757987,0.190909093753858,-0.997780978679657,9214.10223321803,10499487.0530446,131655.08808735,6.16258594436254e-05
0.00081475218757987,0.200000002980232,-0.997780978679657,3686.23322594608,10038240.4955668,121529.680931861,6.60417258491315e-05
0.00081475218757987,0.209090912206606,-0.997780978679657,10447.7153316909,9574191.27838346,119047.644857756,7.05782291319283e-05
0.00081475218757987,0.218181821432981,-0.997780978679657,4891.96490234253,9135735.59988598,112065.355220411,7.52340889823506e-05
0.00081475218757987,0.227272730659355,-0.997780978679657,6594.8327779501,8673502.31955093,108903.643455356,8.00038079928989e-05
0.00081475218757987,0.236363639885729,-0.997780978679657,2826.47792387824,8225253.91606199,101638.663146861,8.48822195883121e-05
0.00081475218757987,0.245454549112103,-0.997780978679657,4660.69515117421,7764706.67954747,98078.5823341496,8.98639502899883e-05
0.00081475218757987,0.254545458338477,-0.997780978679657,1249.50822023174,7317059.39192259,90797.687099129,9.49435580958585e-05
0.00081475218757987,0.263636367564852,-0.997780978679657,3472.79074651632,6856536.83475221,86863.4580865209,0.000100115779678542
0.00081475218757987,0.272727276791226,-0.997780978679657,830.926662112703,6415021.41588163,83549.4011249025,0.000105374247215667
0.00081475218757987,0.2818181860176,-0.997780978679657,-2060.31190697022,5959779.50238196,75836.6802496722,0.000110716384810694
0.00081475218757987,0.290909095243974,-0.997780978679657,1360.1176070919,5506203.30755968,71648.7079810228,0.000116133209487197
0.00081475218757987,0.300000004470348,-0.997780978679657,-2082.20063479897,5071092.62354394,66109.138457536,0.000121620028479907
0.00081475218757987,0.309090913696723,-0.997780978679657,-1844.58058096841,4621901.45324416,60426.899791901,0.000127172790992974
0.00081475218757987,0.318181822923097,-0.997780978679657,-2183.09042949346,4191772.93542827,56988.828365704,0.000132783273160243
0.00081475218757987,0.327272732149471,-0.997780978679657,-3836.1946907001,3789688.7104013,54067.3011432877,0.000138448389171205
0.00081475218757987,0.336363641375845,-0.997780978679657,-3432.6520472776,3379766.45255053,51792.3484501105,0.000144164331324815
0.00081475218757987,0.345454550602219,-0.997780978679657,-2018.18615102518,2961628.12614913,46449.336836379,0.000149927432466658
0.00081475218757987,0.354545459828594,-0.997780978679657,-4312.63232726953,2586068.54164138,44782.6229568742,0.000155727809597236
0.00081475218757987,0.363636369054968,-0.997780978679657,-1339.22065483418,2241534.18109204,46199.4572905997,0.000161570029243472
0.00081475218757987,0.372727278281342,-0.997780978679657,-1219.76763227515,1927027.5094685,49524.3358850274,0.000167451945616658
0.00081475218757987,0.381818187507716,-0.997780978679657,4271.15326949357,1625405.11617053,59721.5138320417,0.000173382347326278
0.00081475218757987,0.39090909673409,-0.997780978679657,-18730.3659880935,1165272.16442427,70238.6247646663,0.00017938171741936
0,0.39090909673409,-1,-43003.1208293831,1108607.47725743,107715.140339034,0.000179622256539921
0,0.381818187507716,-1,-15289.0866074697,1641216.5412994,102737.847005811,0.000173622872181626
0,0.372727278281342,-1,-24668.009582589,1930463.64349154,80388.6416434506,0.00016769225018435
0,0.363636369054968,-1,-28394.9620315143,2230270.9707099,74713.4484346313,0.000161809924543772
0,0.354545459828594,-1,-30168.7799885536,2569023.54965617,74372.3048663212,0.000155967572982434
0,0.345454550602219,-1,-29196.7516233655,2939704.29766461,77083.4483204358,0.000150167063128501
0,0.336363641375845,-1,-29814.9065575533,3352577.76926205,82879.2243499293,0.000144404306780407
0,0.327272732149471,-1,-31698.6891532718,3773113.73467448,87388.2342359216,0.000138688224231793
0,0.318181822923097,-1,-29973.0949437756,4180052.16728825,91616.4194416457,0.000133022870110795
0,0.309090913696723,-1,-27799.6510392488,4610411.57042729,97222.6734887378,0.000127412430709167
0,0.300000004470348,-1,-28278.6326075789,5063629.75243472,103216.187698819,0.000121859676817845
0,0.290909095243974,-1,-25774.5198157197,5507153.24391835,110722.082368298,0.000116372521482257
0,0.2818181860176,-1,-27000.2831682344,5958992.65471239,115672.013781248,0.000110955845277217
0,0.272727276791226,-1,-28794.7624665906,6424131.62316152,124414.887912084,0.000105612953898064
0,0.263636367564852,-1,-23741.4363072802,6872899.29594974,130355.359893228,0.00010035378760799
0,0.254545458338477,-1,-23995.3229999573,7333984.54633724,133416.268350731,9.51812414034325e-05
0,0.245454549112103,-1,-24048.6804923383,7790401.82107876,143231.011964902,9.01004925201619e-05
0,0.236363639885729,-1,-23607.5460024198,8251715.4506852,146157.89184869,8.51180231733216e-05
