X,Y,Z,sxx,syy,szz,sxy,syz,sxz,u_x,u_y,u_z
0,0,-1,478958.201614002,1451284.89745374,458719.340195868,246498.274064643,-10079.6221162191,-49097.5012670523,0,0,0
0,0.400000005960464,-1,-17825.458739624,29650.7476966714,-2394.64902932079,19342.25079657,1813.50482138667,-514.396025298251,9.85624390622753e-06,2.22397091325475e-06,-7.98230812319905e-07
0.00081475218757987,0,-0.997780978679657,461866.473037713,1375445.35672268,417097.339828579,259568.951440987,-39407.4324117092,-35781.7249986049,0,0,0
0.00081475218757987,0.400000005960464,-0.997780978679657,-15430.680254516,32117.1169314284,-2793.43690310391,18145.4129755439,276.12080739229,-1398.21606432571,9.845466271515e-06,2.19982017004574e-06,-7.94489384531408e-07
0.00123105233069509,0,-1.00201618671417,354948.343264975,1364274.11140565,318393.641603088,201629.857351489,30210.2969480624,-15637.1656976983,0,0,0
0.00123105233069509,0.400000005960464,-1.00201618671417,-18667.2499501499,26694.3263413313,15.5571599163709,21276.6274117453,-672.542553962267,-1000.23567788137,9.86546436334513e-06,2.17252596644558e-06,-7.92270098234399e-07
0.00368607812561095,0,-0.995556771755219,388094.288695598,1228503.87638476,424846.893109287,194196.877127929,-65993.5050865582,-20638.4474149957,0,0,0
0.00368607812561095,0.400000005960464,-0.995556771755219,-20733.2420330582,29605.1191450273,-3043.22626435338,21890.2226945795,2750.01163688574,-1719.16047893066,9.83396837952232e-06,2.0992259468446e-06,-7.80996727866413e-07
0.00444133579730988,0,-1.00365805625916,348508.312975651,1209800.43724079,411454.872736819,172089.321146142,97073.2306507784,22831.0456333601,0,0,0
0.00444133579730988,0.400000005960464,-1.00365805625916,-26837.4147339112,17185.3910985508,-2665.94986577167,32429.5796990688,-4166.94631408925,703.986329681386,9.87220479742697e-06,2.04906262933221e-06,-7.7711520937274e-07
0.00855142809450626,0,-0.993418037891388,361421.026350362,1032867.90814423,353344.346098417,171063.211186115,-86923.7103949704,-14711.6922620733,0,0,0
0.00855142809450626,0.400000005960464,-0.993418037891388,-40179.4025449781,17566.4370568223,-3159.19732044858,35936.6710705434,3341.9436504168,-3269.99178328531,9.8216774913391e-06,1.92607003923667e-06,-7.57543174125234e-07
0.015288763679564,0,-0.991488456726074,299038.594691869,889781.267024864,323150.072175807,129705.288963676,-104074.61784685,-6939.1722153805,0,0,0
