X,Y,Z,sigma_x,sigma_y,sigma_z,u
0,0,-1,8012311.13155024,25284288.1070437,8200704.75451878,0
0,0.400000005960464,-1,-304203.528122218,588084.62443358,-19214.3832212435,0.000185373592367144
0.00102290220092982,0,-1.00265979766846,6154123.10300778,23942073.0207373,5708422.99286253,0
0.00102290220092982,0,-0.997340261936188,7961767.61574618,24021836.2417012,7613166.94860757,0
0.00102290220092982,0.400000005960464,-1.00265979766846,-321255.122938199,546253.980354605,-7004.08288563302,0.000185223040482293
0.00102290220092982,0.400000005960464,-0.997340261936188,-272590.734137671,635076.961730391,-29040.5652184639,0.000185207778531717
0.00406370684504509,0,-1.00508522987366,6345456.67154297,21783256.5268129,7115363.76010611,0
0.00406370684504509,0,-0.994914770126343,6379015.71814777,21128573.8256869,7263671.45592256,0
0.00406370684504509,0.400000005960464,-1.00508522987366,-486960.501793985,434937.876619149,-49849.2130777549,0.000184775868774771
0.00406370684504509,0.400000005960464,-0.994914770126343,-321586.152264341,522367.6366972,-36205.0251863554,0.000184750754621604
0.00903946906328201,0,-0.992791533470154,6151152.47784457,18236643.6670398,6361727.72189964,0
0.00903946906328201,0.400000005960464,-0.992791533470154,-539457.227609815,316508.973359351,-57355.6341579752,0.000184055238519606
0.0158144626766443,0,-0.991052687168121,4833781.04298622,14944933.0948719,5275462.97594809,0
0.0158144626766443,0.400000005960464,-0.991052687168121,-740200.503220982,210331.780120175,-51563.6130788427,0.000183189232135677
0.140960529446602,0,-1.0017648935318,-9461474.25598439,-28076473.8299062,-10135245.9831904,0
0.140960529446602,0,-0.998235106468201,-6922872.7011031,-28318162.6445031,-4882887.52067631,0
0.140960529446602,0.400000005960464,-1.0017648935318,500286.291507053,-393907.391393685,31069.785712383,0.000187223985514828
0.140960529446602,0.400000005960464,-0.998235106468201,419464.899547021,-451392.960080673,41327.4118954311,0.000187222416328761
0.145936295390129,0,-1.00093722343445,-10915189.1986903,-33107655.7254044,-10550140.5761737,0
0.145936295390129,0,-0.999062776565552,-8906082.30342879,-33632017.6810737,-6211205.00748508,0
0.145936295390129,0.400000005960464,-1.00093722343445,311642.828638632,-558767.588633037,3479.78938857975,0.00018815266288072
0.145936295390129,0.400000005960464,-0.999062776565552,248565.308237263,-536660.087715826,-11980.5739185382,0.000188146084410009
0.148977100849152,0,-1.00041484832764,-12094939.3457057,-36872206.7857202,-11485814.3120183,0
0.148977100849152,0,-0.999585092067719,-10128981.4765967,-36279762.4950083,-6897967.56365801,0
0.148977100849152,0.400000005960464,-1.00041484832764,192626.781597757,-605307.457381103,28738.9100604705,0.000188741789757826
0.148977100849152,0.400000005960464,-0.999585092067719,191681.725530685,-603344.231286047,-13339.7567842077,0.000188738796054305
0.150000005960464,0,-0.99976372718811,-11670255.9732422,-37372531.3040736,-8198081.86608259,0
