X,Y,Z,sigma_x,sigma_y,sigma_z,u
0,0,-1,5830210.1966246,21696245.3868073,6311219.57518698,0
0,0.400000005960464,-1,-58223.9443504748,755717.049398049,30936.0639743638,0.000179250009508219
0.00102290220092982,0,-1.00265979766846,6094078.49236726,20551230.0083679,7194233.29519849,0
0.00102290220092982,0,-0.997340261936188,3553977.2841614,20231311.5021427,4229272.3724305,0
0.00102290220092982,0.400000005960464,-1.00265979766846,-97944.1194972109,683950.693522791,40528.5374138635,0.000179094974548463
0.00102290220092982,0.400000005960464,-0.997340261936188,-106608.986033847,719565.899834638,-27663.631611783,0.000179106739529676
0.00406370684504509,0,-1.00508522987366,5782113.64550774,17881572.3851894,6232825.22063486,0
0.00406370684504509,0,-0.994914770126343,5445826.314075,19750473.5887497,4795848.52159773,0
0.00406370684504509,0.400000005960464,-1.00508522987366,-296054.418944771,502592.467152313,-8070.00585539093,0.000178657033442695
0.00406370684504509,0.400000005960464,-0.994914770126343,-183498.069751228,634684.795454594,-46183.1937446602,0.000178683636882583
0.00903946906328201,0,-0.992791533470154,4756538.42213732,17671524.952267,4007445.03502313,0
0.00903946906328201,0.400000005960464,-0.992791533470154,-346330.248758113,459179.897815555,-91608.2214170342,0.000178031508183965
0.0158144626766443,0,-0.991052687168121,3187130.17040654,14813288.5039197,2403713.67414814,0
0.0158144626766443,0.400000005960464,-0.991052687168121,-433257.19168032,409167.936025478,-94428.3836245978,0.000177233041300261
0.140960529446602,0,-1.0017648935318,-5385147.79913765,-24566220.9117709,-4270276.34880211,0
0.140960529446602,0,-0.998235106468201,-7765693.36963981,-24030187.0213024,-8584887.70555441,0
0.140960529446602,0.400000005960464,-1.0017648935318,293063.281822868,-575456.373727299,105103.799082079,0.000181012919390509
0.140960529446602,0.400000005960464,-0.998235106468201,265462.425487843,-533104.108648497,-8502.11480466228,0.000181007608549782
0.145936295390129,0,-1.00093722343445,-8169406.05753372,-29342999.3764658,-6928980.16213024,0
0.145936295390129,0,-0.999062776565552,-9445229.41704779,-29595034.1801569,-8965631.25089244,0
0.145936295390129,0.400000005960464,-1.00093722343445,258782.361428821,-703758.163732909,124997.990489512,0.000181892320828771
0.145936295390129,0.400000005960464,-0.999062776565552,173413.1485141,-719667.8672003,-37719.2045783909,0.00018188638734221
