X,Y,Z,sigma_x,sigma_y,sigma_z,u
0,0,-1,8565823.12926421,26754348.6114072,8720494.35442682,0
0,0.400000005960464,-1,-256835.127261991,667483.627470891,-104398.217219414,0.000185957193451526
0.00102290220092982,0,-1.00265979766846,6633765.49188017,25525956.4658686,6240994.06353588,0
0.00102290220092982,0,-0.997340261936188,8538291.33495842,25374949.1928362,8216769.74701517,0
0.00102290220092982,0.400000005960464,-1.00265979766846,-312752.996955387,510923.05971318,-92874.5527295364,0.000185792235634294
0.00102290220092982,0.400000005960464,-0.997340261936188,-289660.590069424,692159.949184643,-91172.1208627189,0.000185801639646627
0.00406370684504509,0,-1.00508522987366,6704375.57240652,22781621.2050749,7659379.98368266,0
0.00406370684504509,0,-0.994914770126343,6115883.00597105,21554882.1400508,6102635.53045116,0
0.00406370684504509,0.400000005960464,-1.00508522987366,-524106.996762846,230449.676162778,-95651.0212656484,0.000185325237339933
0.00406370684504509,0.400000005960464,-0.994914770126343,-411542.586585894,524912.598060745,-90034.858385711,0.000185340000754705
0.00903946906328201,0,-0.992791533470154,5811930.22663968,18440599.2953194,5306781.70616629,0
0.00903946906328201,0.400000005960464,-0.992791533470154,-672350.334263697,286909.04229506,-122392.660690966,0.000184634189390863
0.0158144626766443,0,-0.991052687168121,5424442.09048696,15685876.509133,5755658.86785771,0
0.0158144626766443,0.400000005960464,-0.991052687168121,-897696.468772972,174064.236555394,-102803.261955571,0.000183758926491247
0.140960529446602,0,-1.0017648935318,-7731222.25524743,-27137665.3253593,-6644447.27545669,0
0.140960529446602,0,-0.998235106468201,-7651490.84440734,-29149682.8959456,-5969574.237811,0
0.140960529446602,0.400000005960464,-1.0017648935318,491671.344215121,-335380.981457575,69172.4645823586,0.000187794134026724
0.140960529446602,0.400000005960464,-0.998235106468201,594527.308120148,-244454.166736686,4740.02166634763,0.000187797469760783
0.145936295390129,0,-1.00093722343445,-11192652.2425733,-33726092.2117581,-10722367.8129099,0
0.145936295390129,0,-0.999062776565552,-9288669.06508999,-34874065.667817,-6393122.93399796,0
0.145936295390129,0.400000005960464,-1.00093722343445,298759.19271302,-534658.89169733,62674.1784443094,0.000188727132525837
0.145936295390129,0.400000005960464,-0.999062776565552,376556.76273713,-430933.989821716,-33353.7955693165,0.000188726717570304
0.148977100849152,0,-1.00041484832764,-12643298.3431286,-38458537.5465624,-11933520.5966795,0
0.148977100849152,0,-0.999585092067719,-10703346.6750925,-38265106.0719702,-7247754.94645121,0
0.148977100849152,0.400000005960464,-1.00041484832764,170761.479725522,-653337.051359862,36379.2534713135,0.000189322781359795
0.148977100849152,0.400000005960464,-0.999585092067719,173011.718939752,-603194.076170283,-25459.7455500791,0.000189322326956044
0.150000005960464,0,-0.99976372718811,-12318926.8511346,-39493868.2225485,-8545502.23322641,0
0.150000005960464,0.400000005960464,-0.99976372718811,84837.3419076457,-694654.05278571,-41054.7669062841,0.000189527426518918
0.00102290220092982,0.00701754396421868,-0.997340261936188,3242289.99742157,21767112.7157974,2922664.67875564,1.76979094468328e-06
0.00102290220092982,0.0140350879284374,-0.997340261936188,293841.185913494,19543098.4010349,461326.493068838,3.31261668530254e-06
0.00102290220092982,0.021052631892656,-0.997340261936188,16818.0847133389,18739070.1276271,183271.101462798,4.81561303924472e-06
0.00102290220092982,0.0280701758568747,-0.997340261936188,58497.6767611308,17821668.1688477,86431.0497701559,6.30516304173126e-06
0.00102290220092982,0.0350877198210934,-0.997340261936188,91594.9668124653,17488503.7538036,125452.432429756,7.83126181130122e-06
0.00102290220092982,0.0421052637853121,-0.997340261936188,78243.5704953405,17236232.9039202,133027.539637944,9.40696819544308e-06
0.00102290220092982,0.0491228077495307,-0.997340261936188,73816.3110581881,17004085.9763669,143661.58174161,1.10480105554773e-05
0.00102290220092982,0.0561403517137494,-0.997340261936188,85431.9630430161,16609324.0615131,141693.751644511,1.27534690450082e-05
0.00102290220092982,0.0631578956779681,-0.997340261936188,112687.923011612,16297622.1446756,132622.341331087,1.45305748744625e-05
0.00102290220092982,0.0701754396421868,-0.997340261936188,90307.5152730495,15982470.0209646,120150.329946557,1.63761322325341e-05
0.00102290220092982,0.0771929836064054,-0.997340261936188,66904.5688533918,15703999.388222,125847.203978784,1.83054672923116e-05
0.00102290220092982,0.0842105275706241,-0.997340261936188,76584.446115542,15368651.487343,134924.252100934,2.03184552408436e-05
0.00102290220092982,0.0912280715348428,-0.997340261936188,74416.0838605405,15024519.8924095,132423.531314245,2.24168155850801e-05
