X,Y,Z,sigma_x,sigma_y,sigma_z,u
0,0,-1,7253837.01185492,20923375.80483,6334022.09655527,0
0,0.400000005960464,-1,-259118.405996533,757150.157611979,-68742.2413321936,0.000178454343166315
0.000443277152953669,0,-0.993898570537567,7949927.87174116,22569871.1635855,6928557.24122123,0
0.000443277152953669,0.400000005960464,-0.993898570537567,-263066.528750165,829262.407361985,-114920.436819893,0.000178357730684294
0.00307089020498097,0,-0.988137423992157,6300718.60533691,21340501.1174454,5088597.80617192,0
0.00307089020498097,0.400000005960464,-0.988137423992157,-277767.432515028,771538.132321856,-101619.588055555,0.000177958858106991
0.00790064688771963,0,-0.98293274641037,5422587.32530671,19402510.5970742,4715648.4493463,0
0.00790064688771963,0.400000005960464,-0.98293274641037,-317089.879711094,727208.241068943,-99137.5865770252,0.000177296704452761
0.0148565638810396,0,-0.978577494621277,5031345.08786018,16561342.2328271,5821635.9318553,0
0.0148565638810396,0.400000005960464,-0.978577494621277,-491291.337499821,485572.347169984,-89422.0322220371,0.000176435357043027
0.0237561129033566,0,-0.975380003452301,3073928.50706625,11361812.7974076,3967139.45740614,0
0.0237561129033566,0.400000005960464,-0.975380003452301,-480094.72151205,294315.833350896,-43283.6329772725,0.000175509983445163
0.140868082642555,0,-1.00378179550171,-5749709.32047824,-24069457.9456971,-5225243.1575587,0
0.140868082642555,0.400000005960464,-1.00378179550171,323094.521935047,-620139.702170218,30604.5990937393,0.000180120320146999
0.141052976250648,0,-0.99578320980072,-8602429.27581638,-26612514.5979453,-8688332.40121327,0
0.141052976250648,0.400000005960464,-0.99578320980072,210750.51293397,-739630.419438225,45663.5588958077,0.000180234639674768
0.145884990692139,0,-1.00202393531799,-8510913.10291483,-29379676.7977288,-7924760.38764815,0
0.145884990692139,0.400000005960464,-1.00202393531799,185481.687066272,-854188.419898467,-68947.4574171741,0.000181019558856321
0.145987585186958,0,-0.997776329517365,-9354922.40228727,-29154218.0175654,-8661183.16145319,0
0.145987585186958,0.400000005960464,-0.997776329517365,136344.00739963,-863267.473517559,-24994.2311751694,0.000181082857363659
0.148953795433044,0,-1.00091469287872,-8787727.76653403,-30324512.2748194,-8623162.49562536,0
0.148953795433044,0.400000005960464,-1.00091469287872,144355.362555505,-901482.407105812,-58094.6788919918,0.000181597317758741
0.149000406265259,0,-0.999034404754639,-9247136.61544194,-30389615.5774962,-8983462.56376906,0
0.149000406265259,0.400000005960464,-0.999034404754639,112481.998901068,-915683.563648477,-29765.1203797187,0.000181624995905176
0.150013387203217,0,-0.999464690685272,-8169582.09758865,-30885924.2642671,-8566089.88319339,0
0.150013387203217,0.400000005960464,-0.999464690685272,190502.164196227,-905410.259204283,10083.2734602117,0.000181811916437305
0.000443277152953669,0.0200000002980232,-0.993898570537567,71939.3661880759,18471862.7473298,1445496.38563935,4.2575791115778e-06
0.000443277152953669,0.0400000005960464,-0.993898570537567,-308361.740272234,16727288.2937304,368978.612166553,8.51369404913831e-06
0.000443277152953669,0.0600000008940696,-0.993898570537567,254330.251358424,15000264.7632106,34791.6142600961,1.30879864148363e-05
0.000443277152953669,0.0800000011920929,-0.993898570537567,333961.638096829,14281056.2039539,40586.3180943662,1.82540261228283e-05
0.000443277152953669,0.100000001490116,-0.993898570537567,341401.091070611,13520714.564814,84600.2004323546,2.40813597361104e-05
0.000443277152953669,0.120000001788139,-0.993898570537567,297935.660125626,12496436.6521948,223771.046787092,3.06218630327492e-05
0.000443277152953669,0.140000002086163,-0.993898570537567,-3013.18543183152,11071816.5639996,126111.638597406,3.77683075429848e-05
0.000443277152953669,0.160000002384186,-0.993898570537567,18486.8942777482,10791066.3250787,58460.1843935703,4.56374990618435e-05
0.000443277152953669,0.180000002682209,-0.993898570537567,151556.691131162,10298726.1819884,174788.177333958,5.4199102854781e-05
0.000443277152953669,0.200000002980232,-0.993898570537567,-29589.1437161691,9130639.59034266,109538.300911745,6.34215916490777e-05
0.000443277152953669,0.220000003278255,-0.993898570537567,53188.5185451099,8167155.15451629,109668.750320008,7.31804374182877e-05
0.000443277152953669,0.240000003576279,-0.993898570537567,67407.7460763912,7316375.21086312,99858.8544547348,8.34388861384825e-05
0.000443277152953669,0.260000003874302,-0.993898570537567,51859.5434138259,6385825.04647202,110274.8397074,9.42202180574993e-05
0.000443277152953669,0.280000004172325,-0.993898570537567,67431.3049607695,5354337.97784238,41635.8153806047,0.000105422163105932
0.000443277152953669,0.300000004470348,-0.993898570537567,88346.6567226591,4501079.89940743,30896.3354099093,0.000116955501137491
0.000443277152953669,0.320000004768372,-0.993898570537567,95520.1489705325,3617781.24669191,23726.2418374843,0.000128798688899786
0.000443277152953669,0.340000005066395,-0.993898570537567,73294.4061430388,2711042.59673071,-4613.96146496909,0.000140901120398921
0.000443277152953669,0.360000005364418,-0.993898570537567,54610.5525549543,2174320.21207643,89160.7432346441,0.000153175841596015
0.000443277152953669,0.380000005662441,-0.993898570537567,-21969.8748616307,1309827.63324348,56560.8839437178,0.000165641622669219
0,0.380000005662441,-1,-130405.337343926,1005753.50074748,-11127.9653572809,0.000165740823138799
0,0.360000005364418,-1,67351.8401674515,1859261.62599609,106699.018449625,0.000153287725391711
0,0.340000005066395,-1,84804.1769887132,2657554.14438546,116537.098447305,0.000141029523119776
0,0.320000004768372,-1,94987.8807628939,3526756.64245999,70783.336148286,0.000128936407573444
0,0.300000004470348,-1,54870.6987756045,4360333.53371102,76157.8144579262,0.000117103951888529
0,0.280000004172325,-1,89906.8751822953,5472204.29990396,99981.1330699977,0.000105588291896215
0,0.260000003874302,-1,94071.9683968244,6495095.15957535,116812.42807922,9.43958755489953e-05
0,0.240000003576279,-1,89114.1681209527,7296076.90373934,96497.6415468585,8.36081337738713e-05
0,0.220000003278256,-1,145946.015110868,8229887.60809937,153120.875572634,7.33699215518105e-05
0,0.200000002980232,-1,85211.2736397097,9357323.1200056,140240.023671412,6.35855156433289e-05
0,0.180000002682209,-1,168366.398546057,10248680.7248805,252241.97516779,5.43691996268857e-05
0,0.160000002384186,-1,63168.1667338766,10579927.3816131,96914.0292244963,4.58243880176422e-05
0,0.140000002086163,-1,200850.891872868,11354457.2378661,83048.1480200551,3.79389686463096e-05
0,0.120000001788139,-1,425844.352736806,12696101.7897411,241680.877078284,3.07392458194845e-05
0,0.100000001490116,-1,298113.589563163,13409566.6295949,180688.3002431,2.42126701462385e-05
