X,Y,Z,u_x,u_y,u_z,sxx,syy,szz,sxy,sxz,syz
0,0,-1,0,0,0,221376.356197087,1195768.64286645,259491.988288006,110546.00716862,14181.9567037791,17914.7036921988
0,0.400000005960464,-1,9.74722850139789e-06,2.21234047673296e-06,-2.16660669417121e-07,-5759.81255854304,40120.9993427642,-898.51200166204,7902.88220314984,2624.09933782966,4261.09904254685
0.000243201895500533,0,-1.0010575056076,0,0,0,259499.033656661,1216397.67150754,315592.415642751,123633.152283784,-32376.6838595711,-16969.9950784952
0.000243201895500533,0.400000005960464,-1.0010575056076,9.7480881361176e-06,2.20237931126375e-06,-2.16354565795725e-07,-5716.33461926372,39517.2968451261,1649.90089899609,8229.45137223182,1029.58201437207,4801.16603761406
0.000971230329014361,0,-1.00207543373108,0,0,0,272320.958219585,1199569.30454619,290074.87986964,137289.792557018,-44578.7701940434,-30912.0822827928
0.000971230329014361,0.400000005960464,-1.00207543373108,9.74879240297613e-06,2.17476921855972e-06,-2.15689636226585e-07,-8961.37956137598,36457.4931955531,2272.86669795689,9530.54864065023,-153.585176984747,4868.19037560444
0.00217936374247074,0,-1.003049492836,0,0,0,310616.651640976,1174047.55186226,292647.837244224,159380.769241342,-37625.146411147,-25420.3025602733
0.00217936374247074,0.400000005960464,-1.003049492836,9.74932475547875e-06,2.12970736663313e-06,-2.14690702344514e-07,-12172.5836692574,32452.0267617607,1435.89344735983,12729.4294336056,-776.912952731003,5056.72071068726
0.00385976675897837,0,-1.00397408008575,0,0,0,297579.605215892,1142369.66392713,244083.899745739,160142.838959982,-36768.7167468165,-17408.239918791
0.00385976675897837,0,-0.99602597951889,0,0,0,324648.473818437,1133943.95119373,296110.387670089,168016.627026218,25595.9124331883,10773.5871542324
0.00385976675897837,0.400000005960464,-1.00397408008575,9.74955691187524e-06,2.06776089685481e-06,-2.13392334154101e-07,-16001.3909322523,28783.4216563716,941.882105680312,17443.8785448042,-833.140197184657,3915.70289844646
0.00385976675897837,0.400000005960464,-0.99602597951889,9.74340657113388e-06,2.07549564801443e-06,-2.13708680325937e-07,-8871.48912486604,35904.0293096746,-1739.08883268593,12490.3165604733,139.946094339339,4200.13946358725
0.00600154185667634,0,-1.00484216213226,0,0,0,227239.269665687,977325.231655726,218708.276036749,116945.989042934,-8453.38479814945,16241.5279098543
0.00600154185667634,0,-0.995157897472382,0,0,0,275198.13140134,1013172.28707086,248169.489112198,146663.955067229,10724.3251431941,-1181.56547101602
0.00600154185667634,0.400000005960464,-1.00484216213226,9.74955462718956e-06,1.98929689849762e-06,-2.11770992207499e-07,-26532.6417785626,17340.644649831,-2969.40615318309,32222.4300617219,1353.30519218855,2122.78055136944
0.00600154185667634,0.400000005960464,-0.995157897472382,9.74234123573083e-06,1.99855800815924e-06,-2.12030943658563e-07,-14174.7083457601,27551.8970921568,-2789.73977446253,22706.1756160895,213.779721713287,4914.20601073446
0.141409203410149,0,-1.00135326385498,0,0,0,-427348.093284812,-1325315.19774868,-473219.088579042,210739.091968452,6885.60888626376,1774.08993899472
0.141409203410149,0,-0.99864673614502,0,0,0,-340949.646348512,-1448853.52333481,-276309.75633959,220586.319617662,15796.5201226322,4725.76342110965
0.141409203410149,0.400000005960464,-1.00135326385498,9.73442231222187e-06,-2.68915916192508e-06,-1.2050083680349e-07,18268.0844618385,-27092.7249752501,2775.4278000876,30465.2228197188,729.180508822068,-173.274747878044
0.141409203410149,0.400000005960464,-0.99864673614502,9.73277522438141e-06,-2.68678590609301e-06,-1.20466847967985e-07,20539.4233268241,-21658.9924849685,-708.170791337968,34506.2375233842,1303.1263522769,876.354930521149
0.143998458981514,0,-1.0010107755661,0,0,0,-532807.835912468,-1654454.16929634,-469323.164895483,300748.256461605,79321.7775843004,-69769.7955680422
0.143998458981514,0,-0.998989224433899,0,0,0,-547662.763717901,-1704825.3539244,-468167.852249207,310803.691845403,-216.053470139372,25291.5215328186
0.143998458981514,0.400000005960464,-1.0010107755661,9.73486289306361e-06,-2.78075218469434e-06,-1.18780272701124e-07,15762.1125445813,-31911.5441490602,16.4133205910484,22151.43541188,-227.907010132072,-401.942236917239
0.143998458981514,0.400000005960464,-0.998989224433899,9.7335986755075e-06,-2.7789884249894e-06,-1.18713318568797e-07,15451.2243657225,-30700.6149974748,2525.46947307097,22036.4518808818,1466.17006763129,954.022684586736
0.146140232682228,0,-1.00072205066681,0,0,0,-550528.706318495,-1708759.7580545,-467463.075291461,322690.673042312,16189.1170978817,7624.54286772176
0.146140232682228,0,-0.999277889728546,0,0,0,-495823.646865415,-1706173.14111895,-418470.073889703,294654.988595801,36127.7426709865,-29176.376360487
0.146140232682228,0.400000005960464,-1.00072205066681,9.73520542862925e-06,-2.85662441727121e-06,-1.17414646847236e-07,12132.8899993455,-34947.7095720958,-1043.15727672996,16321.9786365575,-98.2482167108137,1136.65785364172
0.146140232682228,0.400000005960464,-0.999277889728546,9.73429581545807e-06,-2.85535398720368e-06,-1.17394480994176e-07,13721.4066269794,-33884.1331346658,-908.695225582725,18496.5786844529,594.180093654479,165.914251361595
0.147820636630058,0,-1.00049209594727,0,0,0,-539739.657236095,-1747938.8743383,-505096.220416091,306516.820184301,-19128.1040075474,77334.1069120018
0.147820636630058,0,-0.999507963657379,0,0,0,-526873.575426052,-1750969.03351951,-462778.446451584,306972.220464177,45461.310581964,-38595.6093341754
